[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:BootROM stage .... Done
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _030_00000
[25/04/2021 8:25:54 p. m.]  :  030
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Connecting to DA...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Get SYNC_CHAR C0 DA return BB = 142 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:DA starts to detect NOR/SF flash 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:DA starts to detect NAND flash 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Get DA report from target. 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Efuse Data: 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Get DA report done. 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Sync with DA is done. 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _032_00000
[25/04/2021 8:25:54 p. m.]  :  032
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Formatting CBR...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _035_00000
[25/04/2021 8:25:54 p. m.]  :  035
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Write Boot loader...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: send Format HB command
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader:: send Flash Dev
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Set flash type: SF
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader 0x7
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader com_recv_byte response 0x5a
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:da_write_boot_loader::DA_DOWNLOAD_BLOADER_CMD(0x51).
